Date,Ticker,Company,Close,Market Cap,Volume
2025-07-11,041510,에스엠,136200,,163359
2025-07-11,048550,에스엠컬처앤콘텐츠,1449,,215531
2025-07-11,054780,키이스트,4435,,93931
2025-07-11,060570,드림어스컴퍼니,9680,,18152
2025-07-11,063440,에스엠라이프디자인그룹,1589,,139064
2025-07-11,376300,디어유,59700,,139215
2025-07-14,041510,에스엠,134400,,119379
2025-07-14,048550,에스엠컬처앤콘텐츠,1456,,157984
2025-07-14,054780,키이스트,4475,,88346
2025-07-14,060570,드림어스컴퍼니,9715,,22345
2025-07-14,063440,에스엠라이프디자인그룹,1580,,123472
2025-07-14,376300,디어유,58700,,78904
2025-07-15,041510,에스엠,133700,,127673
2025-07-15,048550,에스엠컬처앤콘텐츠,1440,,251514
2025-07-15,054780,키이스트,4500,,95463
2025-07-15,060570,드림어스컴퍼니,9500,,30399
2025-07-15,063440,에스엠라이프디자인그룹,1577,,111077
2025-07-15,376300,디어유,57300,,215627
2025-07-16,041510,에스엠,130800,,91676
2025-07-16,048550,에스엠컬처앤콘텐츠,1405,,340095
2025-07-16,054780,키이스트,4430,,64910
2025-07-16,060570,드림어스컴퍼니,9635,,22688
2025-07-16,063440,에스엠라이프디자인그룹,1554,,118795
2025-07-16,376300,디어유,55900,,183765
2025-07-17,041510,에스엠,131700,,100345
2025-07-17,048550,에스엠컬처앤콘텐츠,1410,,156715
2025-07-17,054780,키이스트,4455,,71909
2025-07-17,060570,드림어스컴퍼니,9650,,9999
2025-07-17,063440,에스엠라이프디자인그룹,1565,,64419
2025-07-17,376300,디어유,55900,,152766
2025-07-18,041510,에스엠,130700,,64506
2025-07-18,048550,에스엠컬처앤콘텐츠,1391,,206725
2025-07-18,054780,키이스트,4415,,62995
2025-07-18,060570,드림어스컴퍼니,9660,,6821
2025-07-18,063440,에스엠라이프디자인그룹,1559,,78437
2025-07-18,376300,디어유,54500,,181063
2025-07-21,041510,에스엠,139800,,272368
2025-07-21,048550,에스엠컬처앤콘텐츠,1401,,186410
2025-07-21,054780,키이스트,4510,,92352
2025-07-21,060570,드림어스컴퍼니,9700,,20369
2025-07-21,063440,에스엠라이프디자인그룹,1568,,73100
2025-07-21,376300,디어유,54700,,256941
2025-07-22,041510,에스엠,138200,,102939
2025-07-22,048550,에스엠컬처앤콘텐츠,1383,,183560
2025-07-22,054780,키이스트,4430,,113686
2025-07-22,060570,드림어스컴퍼니,9520,,39657
2025-07-22,063440,에스엠라이프디자인그룹,1550,,106042
2025-07-22,376300,디어유,51900,,383503
2025-07-23,041510,에스엠,133100,,122167
2025-07-23,048550,에스엠컬처앤콘텐츠,1369,,166887
2025-07-23,054780,키이스트,4405,,82315
2025-07-23,060570,드림어스컴퍼니,9355,,568280
2025-07-23,063440,에스엠라이프디자인그룹,1537,,48592
2025-07-23,376300,디어유,50900,,349784
2025-07-24,041510,에스엠,131100,,125464
2025-07-24,048550,에스엠컬처앤콘텐츠,1368,,251808
2025-07-24,054780,키이스트,4335,,69265
2025-07-24,060570,드림어스컴퍼니,10100,,1529318
2025-07-24,063440,에스엠라이프디자인그룹,1510,,98415
2025-07-24,376300,디어유,50400,,318429
2025-07-25,041510,에스엠,124700,,243837
2025-07-25,048550,에스엠컬처앤콘텐츠,1354,,178794
2025-07-25,054780,키이스트,4290,,74031
2025-07-25,060570,드림어스컴퍼니,9655,,220466
2025-07-25,063440,에스엠라이프디자인그룹,1511,,56606
2025-07-25,376300,디어유,48500,,250706
2025-07-28,041510,에스엠,121500,,213757
2025-07-28,048550,에스엠컬처앤콘텐츠,1336,,170332
2025-07-28,054780,키이스트,4170,,131551
2025-07-28,060570,드림어스컴퍼니,9350,,86826
2025-07-28,063440,에스엠라이프디자인그룹,1498,,159411
2025-07-28,376300,디어유,47750,,231076
2025-07-29,041510,에스엠,123200,,132607
2025-07-29,048550,에스엠컬처앤콘텐츠,1333,,94675
2025-07-29,054780,키이스트,4075,,93803
2025-07-29,060570,드림어스컴퍼니,9565,,80298
2025-07-29,063440,에스엠라이프디자인그룹,1498,,49522
2025-07-29,376300,디어유,49000,,193548
2025-07-30,041510,에스엠,123500,,144654
2025-07-30,048550,에스엠컬처앤콘텐츠,1337,,45536
2025-07-30,054780,키이스트,4120,,71129
2025-07-30,060570,드림어스컴퍼니,10700,,310807
2025-07-30,063440,에스엠라이프디자인그룹,1498,,48932
2025-07-30,376300,디어유,48400,,232852
2025-07-31,041510,에스엠,133100,,378632
2025-07-31,048550,에스엠컬처앤콘텐츠,1368,,168756
2025-07-31,054780,키이스트,4270,,85832
2025-07-31,060570,드림어스컴퍼니,11125,,191440
2025-07-31,063440,에스엠라이프디자인그룹,1518,,77893
2025-07-31,376300,디어유,49350,,296808
2025-08-01,041510,에스엠,129500,,186089
2025-08-01,048550,에스엠컬처앤콘텐츠,1317,,194685
2025-08-01,054780,키이스트,4125,,58167
2025-08-01,060570,드림어스컴퍼니,10975,,71066
2025-08-01,063440,에스엠라이프디자인그룹,1480,,99961
2025-08-01,376300,디어유,46250,,260940
2025-08-04,041510,에스엠,135600,,166388
2025-08-04,048550,에스엠컬처앤콘텐츠,1325,,99562
2025-08-04,054780,키이스트,4145,,24523
2025-08-04,060570,드림어스컴퍼니,11750,,97202
2025-08-04,063440,에스엠라이프디자인그룹,1480,,71910
2025-08-04,376300,디어유,47500,,146366
2025-08-05,041510,에스엠,135500,,188167
2025-08-05,048550,에스엠컬처앤콘텐츠,1344,,156183
2025-08-05,054780,키이스트,4155,,21079
2025-08-05,060570,드림어스컴퍼니,11075,,116760
2025-08-05,063440,에스엠라이프디자인그룹,1556,,295538
2025-08-05,376300,디어유,47600,,143760
2025-08-06,041510,에스엠,137400,,658916
2025-08-06,048550,에스엠컬처앤콘텐츠,1365,,212113
2025-08-06,054780,키이스트,4215,,13428
2025-08-06,060570,드림어스컴퍼니,10950,,27445
2025-08-06,063440,에스엠라이프디자인그룹,1558,,118392
2025-08-06,376300,디어유,51500,,846662
2025-08-07,041510,에스엠,134400,,404879
2025-08-07,048550,에스엠컬처앤콘텐츠,1382,,161903
2025-08-07,054780,키이스트,4245,,28675
2025-08-07,060570,드림어스컴퍼니,11000,,25471
2025-08-07,063440,에스엠라이프디자인그룹,1555,,49396
2025-08-07,376300,디어유,51700,,246851
2025-08-08,041510,에스엠,140200,,247603
2025-08-08,048550,에스엠컬처앤콘텐츠,1371,,134703
2025-08-08,054780,키이스트,4255,,678253
2025-08-08,060570,드림어스컴퍼니,10800,,32830
2025-08-08,063440,에스엠라이프디자인그룹,1587,,165838
2025-08-08,376300,디어유,52600,,273969
2025-08-11,041510,에스엠,147300,,306446
2025-08-11,048550,에스엠컬처앤콘텐츠,1373,,221130
2025-08-11,054780,키이스트,4290,,71374
2025-08-11,060570,드림어스컴퍼니,11150,,71496
2025-08-11,063440,에스엠라이프디자인그룹,1625,,325483
2025-08-11,376300,디어유,53700,,270305
2025-08-12,041510,에스엠,145700,,155510
2025-08-12,048550,에스엠컬처앤콘텐츠,1354,,101886
2025-08-12,054780,키이스트,4290,,46327
2025-08-12,060570,드림어스컴퍼니,10725,,30832
2025-08-12,063440,에스엠라이프디자인그룹,1625,,192267
2025-08-12,376300,디어유,52000,,159693
2025-08-13,041510,에스엠,143500,,409087
2025-08-13,048550,에스엠컬처앤콘텐츠,1348,,161804
2025-08-13,054780,키이스트,4210,,32204
2025-08-13,060570,드림어스컴퍼니,10450,,30297
2025-08-13,063440,에스엠라이프디자인그룹,1631,,180084
2025-08-13,376300,디어유,51600,,194530
2025-08-14,041510,에스엠,148600,,286846
2025-08-14,048550,에스엠컬처앤콘텐츠,1361,,116769
2025-08-14,054780,키이스트,4230,,21748
2025-08-14,060570,드림어스컴퍼니,10225,,28026
2025-08-14,063440,에스엠라이프디자인그룹,1638,,158991
2025-08-14,376300,디어유,52400,,127932
2025-08-18,041510,에스엠,147400,,177907
2025-08-18,048550,에스엠컬처앤콘텐츠,1351,,67198
2025-08-18,054780,키이스트,4200,,36637
2025-08-18,060570,드림어스컴퍼니,10000,,34664
2025-08-18,063440,에스엠라이프디자인그룹,1650,,142663
2025-08-18,376300,디어유,51700,,115009
2025-08-19,041510,에스엠,148200,,304769
2025-08-19,048550,에스엠컬처앤콘텐츠,1516,,37171947
2025-08-19,054780,키이스트,4340,,1510983
2025-08-19,060570,드림어스컴퍼니,10175,,19537
2025-08-19,063440,에스엠라이프디자인그룹,1609,,1385378
2025-08-19,376300,디어유,52300,,328014
2025-08-20,041510,에스엠,150900,,237298
2025-08-20,048550,에스엠컬처앤콘텐츠,1496,,16476694
2025-08-20,054780,키이스트,4270,,159607
2025-08-20,060570,드림어스컴퍼니,10125,,20574
2025-08-20,063440,에스엠라이프디자인그룹,1593,,247099
2025-08-20,376300,디어유,52100,,147081
2025-08-21,041510,에스엠,149500,,148835
2025-08-21,048550,에스엠컬처앤콘텐츠,1450,,2316315
2025-08-21,054780,키이스트,4330,,234086
2025-08-21,060570,드림어스컴퍼니,10025,,14459
2025-08-21,063440,에스엠라이프디자인그룹,1593,,93140
2025-08-21,376300,디어유,52700,,151264
2025-08-22,041510,에스엠,144400,,292770
2025-08-22,048550,에스엠컬처앤콘텐츠,1443,,4031880
2025-08-22,054780,키이스트,4285,,51138
2025-08-22,060570,드림어스컴퍼니,9780,,50210
2025-08-22,063440,에스엠라이프디자인그룹,1604,,82805
2025-08-22,376300,디어유,51400,,108010
2025-08-25,041510,에스엠,144100,,128469
2025-08-25,048550,에스엠컬처앤콘텐츠,1440,,771713
2025-08-25,054780,키이스트,4305,,41708
2025-08-25,060570,드림어스컴퍼니,9810,,29974
2025-08-25,063440,에스엠라이프디자인그룹,1583,,104064
2025-08-25,376300,디어유,53700,,252560
2025-08-26,041510,에스엠,145300,,289291
2025-08-26,048550,에스엠컬처앤콘텐츠,1430,,829886
2025-08-26,054780,키이스트,4300,,49897
2025-08-26,060570,드림어스컴퍼니,9690,,10518
2025-08-26,063440,에스엠라이프디자인그룹,1583,,64704
2025-08-26,376300,디어유,57200,,806210
2025-08-27,041510,에스엠,144000,,127048
